2024-02-15 22:57:14 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2024-02-15 22:57:14 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-02-15 22:57:14 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-02-15 22:57:14 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-02-15 22:57:14 configure xz-utils:amd64 5.2.5-2.1~deb11u1 <none>
2024-02-15 22:57:14 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2024-02-15 22:57:14 status half-configured xz-utils:amd64 5.2.5-2.1~deb11u1
2024-02-15 22:57:14 status installed xz-utils:amd64 5.2.5-2.1~deb11u1
2024-02-15 22:57:14 configure libatomic1:amd64 10.2.1-6 <none>
2024-02-15 22:57:14 status unpacked libatomic1:amd64 10.2.1-6
2024-02-15 22:57:14 status half-configured libatomic1:amd64 10.2.1-6
2024-02-15 22:57:14 status installed libatomic1:amd64 10.2.1-6
2024-02-15 22:57:14 configure libncursesw6:amd64 6.2+20201114-2+deb11u2 <none>
2024-02-15 22:57:14 status unpacked libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-02-15 22:57:14 status half-configured libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-02-15 22:57:14 status installed libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-02-15 22:57:14 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-02-15 22:57:14 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:14 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:14 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-02-15 22:57:14 configure libssh2-1:amd64 1.9.0-2 <none>
2024-02-15 22:57:14 status unpacked libssh2-1:amd64 1.9.0-2
2024-02-15 22:57:14 status half-configured libssh2-1:amd64 1.9.0-2
2024-02-15 22:57:14 status installed libssh2-1:amd64 1.9.0-2
2024-02-15 22:57:14 configure openssl:amd64 1.1.1w-0+deb11u1 <none>
2024-02-15 22:57:14 status unpacked openssl:amd64 1.1.1w-0+deb11u1
2024-02-15 22:57:14 status half-configured openssl:amd64 1.1.1w-0+deb11u1
2024-02-15 22:57:14 status installed openssl:amd64 1.1.1w-0+deb11u1
2024-02-15 22:57:14 configure readline-common:all 8.1-1 <none>
2024-02-15 22:57:14 status unpacked readline-common:all 8.1-1
2024-02-15 22:57:14 status half-configured readline-common:all 8.1-1
2024-02-15 22:57:14 status installed readline-common:all 8.1-1
2024-02-15 22:57:14 configure pinentry-curses:amd64 1.1.0-4 <none>
2024-02-15 22:57:14 status unpacked pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:14 status half-configured pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:14 status installed pinentry-curses:amd64 1.1.0-4
2024-02-15 22:57:14 configure libreadline8:amd64 8.1-1 <none>
2024-02-15 22:57:14 status unpacked libreadline8:amd64 8.1-1
2024-02-15 22:57:14 status half-configured libreadline8:amd64 8.1-1
2024-02-15 22:57:14 status installed libreadline8:amd64 8.1-1
2024-02-15 22:57:14 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2024-02-15 22:57:14 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-02-15 22:57:14 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-02-15 22:57:14 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-02-15 22:57:14 configure ca-certificates:all 20210119 <none>
2024-02-15 22:57:14 status unpacked ca-certificates:all 20210119
2024-02-15 22:57:14 status half-configured ca-certificates:all 20210119
2024-02-15 22:57:15 status installed ca-certificates:all 20210119
2024-02-15 22:57:15 status triggers-pending ca-certificates:all 20210119
2024-02-15 22:57:15 configure gpgconf:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed gpgconf:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 configure libcurl4:amd64 7.74.0-1.3+deb11u11 <none>
2024-02-15 22:57:15 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:15 status half-configured libcurl4:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:15 status installed libcurl4:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:15 configure curl:amd64 7.74.0-1.3+deb11u11 <none>
2024-02-15 22:57:15 status unpacked curl:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:15 status half-configured curl:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:15 status installed curl:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:15 configure gpg:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked gpg:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured gpg:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed gpg:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 configure gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 configure gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 configure gpgsm:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 configure dirmngr:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed dirmngr:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 configure gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 configure gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:15 configure gnupg:all 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:15 status unpacked gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:15 status half-configured gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:15 status installed gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:15 trigproc libc-bin:amd64 2.31-13+deb11u8 <none>
2024-02-15 22:57:15 status half-configured libc-bin:amd64 2.31-13+deb11u8
